EnrolmentID,StudentID,AllCourseID,AcademicYear,Age,ClassSize,Age_CourseStart,EnrolledOnDate,AnnualStartDate,AnnualEndDate,HasChildcareFund,HasHardshipFund,HE,FE,FT,GenderCode,EthnicityCode,DisabilityCode,Count of CourseCodeID,Confirmed,HoursPerWeek,LengthOfCourse,MaritalStatusCode,MoACode,NumberOfWeeks,PlannedLearningHours,PT,ReligionCode,ScqfLevelCode,Semester2Start,SexualOrientationCode,SIMD_Rank,PI_1
1213401,96035,BE1A,2021,24,30,22,2021-08-03 00:00:00,2021-08-23 00:00:00,2022-06-11 00:00:00,0,0,N,Y,N,M,10,01,1,1,0,1,4,09,36,160,Y,01,05,N,1,3446,Completed: Successful
1213677,12130,BE1A,2021,24,30,22,2021-08-05 00:00:00,2021-08-23 00:00:00,2022-06-11 00:00:00,0,0,N,Y,N,F,10,01,1,1,0,1,4,09,36,160,Y,11,05,N,6,5127,Completed: Successful
1213975,71032,BE1A,2021,24,30,22,2021-08-09 00:00:00,2021-08-30 00:00:00,2022-06-10 00:00:00,0,0,Y,N,N,F,31,01,1,1,6,2,4,09,40,240,Y,01,07,N,1,1106,Further Withdrawal
1217341,94459,BE1A,2021,25,0,23,2021-08-27 00:00:00,2021-09-21 00:00:00,2021-11-30 00:00:00,0,0,N,Y,N,M,10,01,1,1,40,1,4,09,9,360,Y,01,06,N,1,3558,Completed: Successful
1215500,81973,BE1A,2021,25,22,23,2021-08-17 00:00:00,2021-09-07 00:00:00,2022-06-11 00:00:00,0,0,Y,N,N,F,31,01,1,1,9,2,3,09,33,360,Y,01,08,N,1,2165,Completed: Successful
1211213,65783,BE1A,2021,25,30,22,2021-07-22 00:00:00,2021-08-23 00:00:00,2022-06-11 00:00:00,0,0,N,Y,N,F,10,01,1,1,0,1,4,09,36,160,Y,11,05,N,6,1833,Further Withdrawal
1207114,73685,BE1A,2021,25,30,23,2021-07-13 00:00:00,2021-08-23 00:00:00,2022-06-11 00:00:00,0,0,N,Y,N,F,10,01,1,1,0,1,4,09,36,160,Y,11,05,N,1,314,Completed: Successful
1211672,77394,BE1A,2021,25,30,23,2021-07-26 00:00:00,2021-08-23 00:00:00,2022-06-11 00:00:00,0,0,N,Y,N,F,10,01,1,1,0,1,4,09,36,160,Y,01,05,N,1,2913,Completed: Successful
1215001,80430,BE1A,2021,25,30,23,2021-08-16 00:00:00,2021-08-23 00:00:00,2022-06-11 00:00:00,0,0,N,Y,N,M,10,01,1,1,0,1,4,09,36,160,Y,11,05,N,1,4246,Completed: Successful
1215970,175667,BE1A,2021,25,30,23,2021-08-19 00:00:00,2021-08-23 00:00:00,2022-06-11 00:00:00,0,0,N,Y,N,F,31,01,1,1,0,1,3,09,36,160,Y,01,05,N,1,667,Early Withdrawal
